vin,lat,lng,currentElectricity,averageEnergyConsumption,chargeStatus,bcuSOH
LS5A2DJX2KA004661,29.55944,106.44225,99,806092.8,1,100
LS6A2E0E4KA002914,32.04131,118.89469,97,943718.44,1,100
LS6A2E0E2KA002684,32.12373,118.87209,55,1048576,1,100
LS5A2DJX9KA002471,32.1337,118.88574,93,825753.6,3,99.6
LS5A2DJX8KA002574,31.9537,118.812,99,924057.6,3,95.9
LS6A2E0E1KA001705,31.94634,118.8541,45,1068236.9,1,100
LS6A2E0E8KA001359,32.144,118.74081,79,884736,1,100
LS5A2DJX7KA002128,32.13196,118.7167,95,806092.8,3,100
LS5A2AJX6KA003415,35.05338,111.00942,35,1028915.2,3,99.5
LS6A2E0EXKA001444,31.98987,118.71796,55,1087897.6,1,100
LS6A2E0E0KA002117,32.00415,118.76472,92,806092.8,3,100
LS6A2E0E4KA009362,0,0,35,943718.44,3,100
LS5A2DJX2KA004661,29.55927,106.4423,74,806092.8,1,100
LS5A2DJX5KA002564,31.91627,118.85045,75,976486.44,3,99.200005
LS5A2DJX2KA002909,29.62858,106.55251,100,825753.6,3,99.6
LS6A2E0E1KA001963,32.02637,118.74677,81,996147.2,3,100
LS5A2DJXXKA001281,31.90813,118.8354,98,1061683.2,3,95
LS5A2DJX5KA005612,29.527,106.54222,77,910950.44,3,100
LS6A2E0E0KA008919,28.98258,119.84593,89,884736,3,100
LS5A2DJX9KA002471,32.13294,118.87964,93,825753.6,3,99.6
LS6A2E0EXKA009897,30.37005,120.17668,45,1101004.9,3,100
LS6A2E0EXKA002464,32.05119,118.78754,70,825753.6,3,100
LS6A2E0E2KA001017,32.04079,118.71745,81,806092.8,3,100
LS6A2E0E1KA001493,32.07684,118.76132,51,910950.44,3,100
LS6A2E0E7KA001398,32.12972,118.8196,85,1002700.8,3,100
LS6A2E0E8KA009039,22.54825,113.46605,74,983040,3,100
LS6A2E0E5KA009080,29.83651,121.51333,96,1101004.9,3,100
LS5A2DJX8KA002381,0,0,47,930611.2,3,100
LS6A2E0E0KA008130,29.69136,106.60021,41,812646.44,3,100
LS6A2E0E3KA002516,32.0637,118.63309,83,851968,3,100
LS6A2E0E6KA009041,0,0,81,891289.6,3,100
LS6A2E0E6KA002011,31.9518,118.83651,47,825753.6,3,100
LS6A2E0E1KA009447,0,0,34,910950.44,3,100
LS6A2E0E2KA001101,32.12924,118.72456,86,851968,3,100
LS5A2DJX7KA002596,32.02424,118.82443,81,806092.8,1,100
LS5A2DJX3KA002529,32.0287,118.87608,91,806092.8,3,97.4
LS6A2E0E5KA009788,30.37011,120.17662,53,917504,3,100
LS6A2E0EXKA002657,31.93101,118.85306,71,812646.44,3,100
LS5A2AJX6KA004192,34.83752,111.18935,28,969932.8,3,99.6
LS6A2E0E7KA003183,32.11133,118.92957,53,851968,3,100
LS5A2DJX5KA001138,32.10934,118.87101,85,963379.2,3,95.8
LS6A2E0E5KA009354,30.36992,120.1767,50,910950.44,3,100
LS5A2DJXXKA002155,32.00225,118.76345,98,806092.8,3,100
LS6A2E0E4KA007448,29.63575,106.47313,56,838860.8,3,100
LS5A2DJX1KA002397,0,0,96,1042022.44,1,88.9
LS5A2DJX2KA001064,32.0687,118.65502,13,832307.2,3,96
LS6A2E0E2KA001969,32.0339,118.78412,90,943718.44,3,100
LS6A2E0E5KA003134,0,0,80,851968,1,100
LS5A2DJX2KA002148,31.94146,118.6404,87,884736,3,99.8
LS5A2DJX9KA001112,31.96576,118.79997,22,812646.44,1,100
LS6A2E0E4KA003139,0,0,94,917504,3,100
LS6A2E0E7KA002969,32.2329,118.75688,85,1002700.8,3,99.9
LS6A2E0E6KA001392,32.09298,118.78854,80,1048576,3,100
LS5A2DJXXKA002897,31.99543,118.7696,59,806092.8,3,91.8
LS6A2E0EXKA002416,32.01303,118.79138,95,937164.8,3,100
LS5A2AJX0KA003491,35.05629,110.97165,65,1146880,3,100
LS6A2E0E7KA009517,30.37011,120.17674,48,1048576,3,100
LS6A2E0E6KA009363,30.37034,120.17686,47,989593.6,3,100
LS6A2E0E1KA001171,32.06022,118.73767,81,930611.2,3,100
LS6A2E0E2KA002541,32.0632,118.91951,87,904396.8,3,100
LS5A2AJX0KA003426,35.12266,110.91922,45,1015808,3,99.3
LS6A2E0E1KA001512,32.13151,118.86288,32,891289.6,1,100
LS6A2E0E5KA009516,0,0,36,917504,3,100
LS5A2DJX6KA004789,29.566,106.57613,89,806092.8,3,100
LS5A2DJX2KA001100,31.94847,118.68475,54,963379.2,3,99.5
LS5A2DJXXKA004553,0,0,92,996147.2,3,100
LS6A2E0E0KA003204,32.0349,118.75147,65,924057.6,3,100
LS5A2DJX5KA002161,32.08887,118.65663,90,845414.44,3,90.200005
LS6A2E0E6KA009332,0,0,77,943718.44,3,100
LS5A2DJX5KA002502,32.05396,118.91014,72,884736,3,99.700005
LS6A2E0E9KA002732,32.06032,118.909,93,806092.8,3,100
LS6A2E0E9KA002777,32.15399,118.85401,81,910950.44,3,100
LS6A2E0E4KA002024,32.09369,118.66783,75,845414.44,3,100
LS6A2E0E7KA003152,32.07529,118.73811,90,1002700.8,3,100
LS6A2E0E7KA008769,38.43557,112.73789,65,1002700.8,1,100
LS6A2E0E4KA001133,0,0,54,930611.2,3,100
LS6A2E0E4KA001391,32.11565,118.82702,54,806092.8,1,100
LS6A2E0E8KA002642,32.02406,118.82432,92,1022361.6,1,100
LS6A2E0E0KA002554,0,0,100,937164.8,3,100
LS5A2AJX0KA002812,37.74877,112.5571,95,963379.2,1,99.3
LS5A2DJX7KA003148,32.24315,118.7459,71,878182.44,3,98.9
LS6A2E0E7KA001482,32.12879,118.97297,92,956825.6,3,100
LS6A2E0E8KA002351,31.98743,118.72535,96,806092.8,3,100
LS5A2AJX6KA003978,37.48889,121.28111,79,917504,3,100
LS5A2DJX0KA001161,32.12075,118.8406,48,904396.8,3,98.4
LS5A2DJX9JA000248,29.74891,106.63716,89,878182.44,1,94.4
LS6A2E0E5KA009354,30.36998,120.17682,49,910950.44,3,100
LS5A2AJX7KA004153,27.78286,120.65742,28,910950.44,3,100
LS6A2E0E7KA001093,0,0,76,832307.2,3,100
LS6A2E0E1KA002577,32.04452,118.77701,43,878182.44,3,100
LS6A2E0E7KA001062,32.01863,118.71678,57,891289.6,3,100
LS6A2E0E7KA001546,32.04823,118.74447,67,825753.6,3,100
LS5A2AJX3KA004005,37.43086,121.38724,98,924057.6,3,96.700005
LS6A2E0E2KA001096,31.92994,118.79557,86,1055129.6,3,100
LS6A2E0E0KA001324,32.03932,118.78233,35,897843.2,3,100
LS5A2DJX8KA002588,32.08581,118.74777,22,1048576,3,99
LS6A2E0E1KA009013,29.46203,121.88676,50,1009254.44,3,100
LS6A2E0E4KA000970,31.97014,118.73676,42,1107558.4,3,100
LS6A2E0E9KA001368,32.07305,118.75001,92,1048576,3,100
LS6A2E0E8KA009977,30.37015,120.17681,47,983040,3,100
LS6A2E0E5KA001951,31.91475,118.89477,69,1048576,3,100
LS6A2E0EXKA009897,30.37006,120.17663,45,1101004.9,3,100
LS6A2E0E8KA009249,30.30472,120.13082,31,956825.6,3,100
LS6A2E0E7KA001398,32.12664,118.82941,85,1002700.8,3,100
LS6A2E0E3KA002919,32.11103,118.95339,85,832307.2,3,100
LS5A2AJX1KA003581,0,0,48,1087897.6,3,100
LS6A2E0E1KA002899,32.08765,118.67088,75,806092.8,3,100
LS5A2DJXXKA002740,32.09434,118.76618,36,806092.8,3,100
LS6A2E0EXKA002108,31.97934,118.7819,67,983040,3,99.9
LS5A2DJX4KA002118,32.06462,118.63416,53,917504,3,94.6
LS6A2E0E0KA001582,31.96275,118.85066,73,950272,3,100
LS6A2E0E2KA010090,30.37024,120.17655,32,1028915.2,3,100
LS6A2E0E5KA009788,30.37011,120.17662,53,917504,3,100
LS6A2E0E6KA002834,32.09654,118.81252,54,806092.8,1,100
LS6A2E0E6KA001568,32.15349,118.72488,85,845414.44,1,100
LS6A2E0E6KA001960,32.12279,118.92498,74,1035468.8,3,100
LS6A2E0E2KA003172,32.15709,118.86001,98,884736,3,100
LS6A2E0E5KA002405,32.148,118.94412,67,1048576,3,99.9
LS6A2E0E1KA009058,29.35354,121.44752,66,1055129.6,3,100
LS5A2AJX2KA004433,37.87049,112.5593,53,983040,3,99.6
LS6A2E0E2KA010106,30.37011,120.17682,42,1048576,3,100
LS5A2AJX1KA004021,37.29985,120.83743,56,1081344,3,100
LS6A2E0E4KA003190,32.06,118.73442,84,897843.2,3,100
LS5A2AJXXKA002879,37.85061,112.57965,87,1022361.6,3,100
LS6A2E0EXKA002903,31.96739,118.81143,81,825753.6,3,100
LS6A2E0E3KA010020,30.37024,120.17658,50,989593.6,3,100
LS6A2E0E5KA002789,31.91192,118.84252,99,937164.8,3,100
